,Unnamed: 0,ra,dec,u_extendedness,u_mag,g_extendedness,g_mag,r_extendedness,r_mag,i_extendedness,i_mag,z_extendedness,z_mag
185,185,229.25904611497785,5.280642643814895,,,1.0,17.17062529221814,,,1.0,16.156233611507904,1.0,16.10938580334464
186,186,229.24802031802392,5.280145948410616,,,1.0,22.68783950697721,,,1.0,21.11091169400438,1.0,20.67614834796485
187,187,229.28683778555805,5.281295062250247,,,,,,,,,,
188,188,229.22959319309527,5.284667524747392,1.0,21.94317673507156,1.0,20.64916559307196,,,1.0,19.35272432627923,1.0,19.11862070731252
189,189,229.2556363301017,5.284955483506867,,,1.0,24.547899332014588,,,1.0,22.756234313788937,1.0,22.012027793595333
190,190,229.24765205629234,5.285912767900714,,,1.0,22.728573203502734,,,1.0,21.40937059908111,1.0,21.073026282438786
191,191,229.2181690421454,5.286352081260571,,,1.0,24.16071271838032,1.0,23.827845880201718,1.0,22.195144177232564,1.0,21.780671402836838
192,192,229.26457038085906,5.287013459726652,,,1.0,25.58178601038577,,,1.0,21.66224482469762,1.0,21.187619832843644
193,193,229.23510191835783,5.288726712880006,1.0,24.45228684883773,1.0,23.193484275392397,,,1.0,20.940396381540182,1.0,20.448572529819018
194,194,229.20412403118186,5.289013961599299,1.0,23.696874925324668,1.0,23.92383199431812,1.0,23.627302608966765,1.0,22.34971055059148,1.0,23.066383156313947
195,195,229.28586730293821,5.29092371142181,,,,,,,1.0,19.2744990914888,,
196,196,229.2788022328626,5.291631667625809,,,1.0,22.86327396951101,,,1.0,22.29052297690213,1.0,23.021230039873
197,197,229.2868653671053,5.2935682405329025,,,,,,,,,,
198,198,229.25357269774562,5.294522591605834,,,1.0,24.792775427679285,,,1.0,22.55055478100903,1.0,23.00575741710829
199,199,229.22392643051936,5.294948100222339,1.0,,1.0,23.838399917658105,,,1.0,22.780337565645823,1.0,22.2875251687851
200,200,229.2862435887991,5.295946100992273,,,,,,,,,,
201,201,229.26511762982346,5.296996795248921,,,1.0,21.45676836640762,,,1.0,20.80216583465457,1.0,20.55214960077064
202,202,229.25383762373926,5.297455291538779,,,1.0,23.75800222872936,,,1.0,22.118010858332266,1.0,21.585474170124527
203,203,229.28357069584635,5.29734513233711,,,,,,,1.0,22.39721775281653,,
204,204,229.2158648324833,5.302120545188069,1.0,21.504486973468477,1.0,20.13470537225963,,,1.0,18.826017789517607,1.0,18.72631997690924
205,205,229.23058440068593,5.302089326659131,1.0,23.506731019113424,1.0,21.925293081735443,,,1.0,19.92957634417663,1.0,19.57805215775872
206,206,229.25539539047597,5.303223167756912,,,1.0,21.123341404628142,,,1.0,20.39598963326304,1.0,20.309878363184005
207,207,229.2870495212553,5.304182854504937,,,,,,,,,,
208,208,229.2516838323961,5.304638124942112,,,1.0,21.063175817376543,,,1.0,20.54788663509328,1.0,20.5215685346174
